feature,importance
encoder__Topic_Chemistry,1.3808490957248751
encoder__GradeID_G-08,0.8495882931046849
encoder__gender_M,0.6002985960443695
encoder__Topic_Quran,0.48717633192297644
encoder__GradeID_G-05,0.38513380306946565
encoder__StageID_lowerlevel,0.3302924464079301
encoder__Semester_S,0.232871156748993
encoder__GradeID_G-07,0.22431064484792745
encoder__GradeID_G-09,0.15271244255699834
encoder__Relation_Mum,0.02875152690902114
encoder__GradeID_G-12,0.010961872731750769
encoder__Topic_French,0.010277252086213176
encoder__Topic_Math,-0.009907159684535703
remainder__Discussion,-0.011750626766838156
remainder__VisITedResources,-0.02335715461359569
remainder__raisedhands,-0.03129081618959892
encoder__Topic_History,-0.032137219678339726
remainder__AnnouncementsView,-0.04196879205506152
encoder__GradeID_G-11,-0.12862280497764927
encoder__GradeID_G-10,-0.15150072023547334
encoder__StageID_MiddleSchool,-0.1775741768163443
encoder__Topic_Biology,-0.24615912193004927
encoder__SectionID_B,-0.282300525745957
encoder__Topic_Science,-0.2873722763996772
encoder__Topic_Geology,-0.3630854319490166
encoder__SectionID_C,-0.38348487042085727
encoder__Topic_Spanish,-0.4559782993468822
encoder__ParentschoolSatisfaction_Good,-0.5001438632212004
encoder__Topic_IT,-0.5074955533090306
encoder__GradeID_G-04,-0.7464621483149451
encoder__Topic_English,-0.8226088098028865
encoder__ParentAnsweringSurvey_Yes,-0.8638458156647764
encoder__GradeID_G-06,-0.9488902939195183
encoder__StudentAbsenceDays_Under-7,-2.514387339956518
